line_idx,tts,k_theirs,k_opt,verdict,t_sec
720,"[7, 172]",5,5,OPTIMAL,0.07
724,"[7, 176]",4,4,OPTIMAL,0.02
728,"[7, 180]",6,6,OPTIMAL,0.10
732,"[7, 185]",5,5,OPTIMAL,0.07
736,"[7, 189]",6,6,OPTIMAL,0.11
740,"[7, 225]",6,6,OPTIMAL,0.10
744,"[7, 231]",5,5,OPTIMAL,0.06
748,"[7, 235]",6,6,OPTIMAL,0.11
752,"[7, 242]",4,4,OPTIMAL,0.02
756,"[7, 248]",2,2,OPTIMAL,0.01
760,"[7, 254]",4,4,OPTIMAL,0.02
764,"[8, 14]",4,4,OPTIMAL,0.03
768,"[8, 18]",5,5,OPTIMAL,0.07
772,"[8, 24]",5,5,OPTIMAL,0.08
776,"[8, 30]",6,6,OPTIMAL,0.11
780,"[8, 34]",3,3,OPTIMAL,0.02
784,"[8, 38]",5,5,OPTIMAL,0.06
788,"[8, 42]",3,3,OPTIMAL,0.03
792,"[8, 46]",4,4,OPTIMAL,0.04
796,"[8, 50]",4,4,OPTIMAL,0.03
800,"[8, 54]",5,5,OPTIMAL,0.07
804,"[8, 58]",4,4,OPTIMAL,0.03
808,"[8, 62]",5,5,OPTIMAL,0.12
812,"[8, 98]",5,5,OPTIMAL,0.08
816,"[8, 104]",6,6,OPTIMAL,0.10
820,"[8, 110]",5,5,OPTIMAL,0.06
824,"[8, 114]",4,4,OPTIMAL,0.02
828,"[8, 120]",4,4,OPTIMAL,0.02
832,"[8, 126]",6,6,OPTIMAL,0.11
836,"[8, 130]",5,5,OPTIMAL,0.06
840,"[8, 136]",2,2,OPTIMAL,0.01
844,"[8, 142]",5,5,OPTIMAL,0.06
848,"[8, 146]",7,7,OPTIMAL,0.51
852,"[8, 152]",5,5,OPTIMAL,0.06
856,"[8, 158]",7,7,OPTIMAL,0.41
860,"[8, 162]",3,3,OPTIMAL,0.01
864,"[8, 166]",4,4,OPTIMAL,0.02
868,"[8, 171]",4,4,OPTIMAL,0.02
872,"[8, 175]",3,3,OPTIMAL,0.01
876,"[8, 179]",3,3,OPTIMAL,0.01
880,"[8, 183]",5,5,OPTIMAL,0.06
884,"[8, 187]",3,3,OPTIMAL,0.02
888,"[8, 191]",4,4,OPTIMAL,0.02
892,"[8, 227]",5,5,OPTIMAL,0.07
896,"[8, 233]",7,7,OPTIMAL,0.48
900,"[8, 239]",4,4,OPTIMAL,0.02
904,"[8, 246]",5,5,OPTIMAL,0.06
908,"[8, 250]",3,3,OPTIMAL,0.01
912,"[9, 11]",4,4,OPTIMAL,0.02
916,"[9, 17]",4,4,OPTIMAL,0.02
920,"[9, 23]",6,6,OPTIMAL,0.10
924,"[9, 27]",6,6,OPTIMAL,0.12
928,"[9, 33]",6,6,OPTIMAL,0.12
932,"[9, 37]",7,7,OPTIMAL,0.45
936,"[9, 41]",6,6,OPTIMAL,0.12
940,"[9, 45]",6,6,OPTIMAL,0.10
944,"[9, 49]",5,5,OPTIMAL,0.08
948,"[9, 53]",7,7,OPTIMAL,0.49
952,"[9, 57]",5,5,OPTIMAL,0.07
956,"[9, 61]",6,6,OPTIMAL,0.10
960,"[9, 97]",7,7,OPTIMAL,0.44
964,"[9, 103]",6,6,OPTIMAL,0.13
968,"[9, 107]",7,7,OPTIMAL,0.59
972,"[9, 113]",6,6,OPTIMAL,0.13
976,"[9, 119]",4,4,OPTIMAL,0.04
980,"[9, 123]",6,6,OPTIMAL,0.14
984,"[9, 129]",7,7,OPTIMAL,0.68
988,"[9, 135]",7,7,OPTIMAL,0.61
992,"[9, 139]",6,6,OPTIMAL,0.16
996,"[9, 145]",6,6,OPTIMAL,0.12
1000,"[9, 151]",7,7,OPTIMAL,0.46
1004,"[9, 155]",6,6,OPTIMAL,0.10
1008,"[9, 161]",7,7,OPTIMAL,0.43
1012,"[9, 165]",7,7,OPTIMAL,0.38
1016,"[9, 169]",5,5,OPTIMAL,0.06
1020,"[9, 174]",5,5,OPTIMAL,0.06
1024,"[9, 178]",5,5,OPTIMAL,0.06
1028,"[9, 182]",6,6,OPTIMAL,0.08
1032,"[9, 186]",6,6,OPTIMAL,0.10
1036,"[9, 190]",6,6,OPTIMAL,0.11
1040,"[9, 226]",6,6,OPTIMAL,0.09
1044,"[9, 232]",6,6,OPTIMAL,0.09
1048,"[9, 238]",4,4,OPTIMAL,0.03
1052,"[9, 243]",5,5,OPTIMAL,0.08
1056,"[9, 249]",5,5,OPTIMAL,0.07
1060,"[10, 11]",3,3,OPTIMAL,0.02
1064,"[10, 15]",1,1,OPTIMAL,0.01
1068,"[10, 19]",3,3,OPTIMAL,0.01
1072,"[10, 23]",5,5,OPTIMAL,0.06
1076,"[10, 27]",3,3,OPTIMAL,0.01
1080,"[10, 31]",3,3,OPTIMAL,0.01
1084,"[10, 35]",3,3,OPTIMAL,0.01
1088,"[10, 39]",4,4,OPTIMAL,0.02
1092,"[10, 43]",4,4,OPTIMAL,0.02
1096,"[10, 47]",3,3,OPTIMAL,0.01
1100,"[10, 51]",1,1,OPTIMAL,0.01
1104,"[10, 55]",3,3,OPTIMAL,0.01
1108,"[10, 59]",2,2,OPTIMAL,0.02
1112,"[10, 63]",2,2,OPTIMAL,0.01
1116,"[10, 67]",5,5,OPTIMAL,0.06
1120,"[10, 71]",4,4,OPTIMAL,0.02
1124,"[10, 75]",5,5,OPTIMAL,0.06
1128,"[10, 79]",3,3,OPTIMAL,0.01
1132,"[10, 83]",4,4,OPTIMAL,0.03
1136,"[10, 87]",3,3,OPTIMAL,0.01
1140,"[10, 91]",4,4,OPTIMAL,0.02
1144,"[10, 95]",2,2,OPTIMAL,0.01
1148,"[10, 99]",5,5,OPTIMAL,0.06
1152,"[10, 103]",5,5,OPTIMAL,0.07
1156,"[10, 107]",6,6,OPTIMAL,0.11
1160,"[10, 111]",5,5,OPTIMAL,0.07
1164,"[10, 115]",3,3,OPTIMAL,0.01
1168,"[10, 119]",2,2,OPTIMAL,0.01
1172,"[10, 123]",4,4,OPTIMAL,0.02
1176,"[10, 127]",3,3,OPTIMAL,0.01
1180,"[10, 131]",5,5,OPTIMAL,0.06
1184,"[10, 135]",5,5,OPTIMAL,0.07
1188,"[10, 139]",4,4,OPTIMAL,0.02
1192,"[10, 143]",3,3,OPTIMAL,0.01
1196,"[10, 147]",5,5,OPTIMAL,0.07
1200,"[10, 151]",7,7,OPTIMAL,0.75
1204,"[10, 155]",5,5,OPTIMAL,0.06
1208,"[10, 159]",5,5,OPTIMAL,0.07
1212,"[10, 163]",4,4,OPTIMAL,0.02
1216,"[10, 167]",4,4,OPTIMAL,0.03
1220,"[10, 172]",4,4,OPTIMAL,0.02
1224,"[10, 176]",3,3,OPTIMAL,0.02
1228,"[10, 180]",5,5,OPTIMAL,0.07
1232,"[10, 184]",4,4,OPTIMAL,0.02
1236,"[10, 188]",5,5,OPTIMAL,0.07
1240,"[10, 192]",2,2,OPTIMAL,0.01
1244,"[10, 196]",2,2,OPTIMAL,0.02
1248,"[10, 200]",3,3,OPTIMAL,0.02
1252,"[10, 205]",3,3,OPTIMAL,0.02
1256,"[10, 209]",4,4,OPTIMAL,0.02
1260,"[10, 213]",3,3,OPTIMAL,0.01
1264,"[10, 217]",5,5,OPTIMAL,0.06
1268,"[10, 221]",2,2,OPTIMAL,0.02
1272,"[10, 225]",5,5,OPTIMAL,0.07
1276,"[10, 229]",4,4,OPTIMAL,0.04
1280,"[10, 233]",7,7,OPTIMAL,0.83
1284,"[10, 237]",4,4,OPTIMAL,0.02
1288,"[10, 242]",3,3,OPTIMAL,0.01
1292,"[10, 246]",5,5,OPTIMAL,0.06
1296,"[10, 250]",2,2,OPTIMAL,0.01
1300,"[10, 254]",3,3,OPTIMAL,0.01
1304,"[11, 15]",2,2,OPTIMAL,0.01
1308,"[11, 19]",4,4,OPTIMAL,0.01
1312,"[11, 24]",6,6,OPTIMAL,0.09
1316,"[11, 28]",6,6,OPTIMAL,0.09
1320,"[11, 32]",4,4,OPTIMAL,0.02
1324,"[11, 36]",5,5,OPTIMAL,0.06
1328,"[11, 40]",6,6,OPTIMAL,0.11
1332,"[11, 44]",6,6,OPTIMAL,0.09
1336,"[11, 48]",3,3,OPTIMAL,0.01
1340,"[11, 52]",4,4,OPTIMAL,0.01
1344,"[11, 56]",5,5,OPTIMAL,0.06
1348,"[11, 60]",5,5,OPTIMAL,0.05
1352,"[11, 64]",3,3,OPTIMAL,0.01
1356,"[11, 68]",2,2,OPTIMAL,0.01
1360,"[11, 72]",5,5,OPTIMAL,0.06
1364,"[11, 77]",5,5,OPTIMAL,0.06
1368,"[11, 81]",4,4,OPTIMAL,0.01
1372,"[11, 85]",2,2,OPTIMAL,0.01
1376,"[11, 89]",5,5,OPTIMAL,0.06
1380,"[11, 93]",4,4,OPTIMAL,0.02
1384,"[11, 97]",7,7,OPTIMAL,0.45
1388,"[11, 101]",6,6,OPTIMAL,0.10
1392,"[11, 105]",7,7,OPTIMAL,0.38
1396,"[11, 109]",7,7,OPTIMAL,0.42
1400,"[11, 113]",6,6,OPTIMAL,0.09
1404,"[11, 117]",4,4,OPTIMAL,0.02
1408,"[11, 122]",6,6,OPTIMAL,0.10
1412,"[11, 126]",6,6,OPTIMAL,0.10
1416,"[11, 130]",6,6,OPTIMAL,0.10
1420,"[11, 135]",6,6,OPTIMAL,0.11
1424,"[11, 139]",4,4,OPTIMAL,0.02
1428,"[11, 143]",4,4,OPTIMAL,0.03
1432,"[11, 147]",6,6,OPTIMAL,0.10
1436,"[11, 151]",7,7,OPTIMAL,0.48
1440,"[11, 155]",5,5,OPTIMAL,0.09
1444,"[11, 159]",5,5,OPTIMAL,0.08
1448,"[11, 163]",5,5,OPTIMAL,0.10
1452,"[11, 167]",5,5,OPTIMAL,0.06
1456,"[11, 172]",5,5,OPTIMAL,0.08
1460,"[11, 176]",3,3,OPTIMAL,0.02
1464,"[11, 180]",4,4,OPTIMAL,0.02
1468,"[11, 185]",5,5,OPTIMAL,0.07
1472,"[11, 189]",6,6,OPTIMAL,0.10
1476,"[11, 193]",5,5,OPTIMAL,0.06
1480,"[11, 197]",5,5,OPTIMAL,0.06
1484,"[11, 201]",5,5,OPTIMAL,0.06
1488,"[11, 206]",4,4,OPTIMAL,0.02
1492,"[11, 210]",6,6,OPTIMAL,0.10
1496,"[11, 214]",6,6,OPTIMAL,0.10
1500,"[11, 218]",6,6,OPTIMAL,0.09
1504,"[11, 222]",6,6,OPTIMAL,0.11
1508,"[11, 226]",5,5,OPTIMAL,0.06
1512,"[11, 230]",5,5,OPTIMAL,0.06
1516,"[11, 235]",5,5,OPTIMAL,0.06
1520,"[11, 239]",4,4,OPTIMAL,0.02
1524,"[11, 244]",2,2,OPTIMAL,0.01
1528,"[11, 248]",4,4,OPTIMAL,0.02
1532,"[11, 252]",3,3,OPTIMAL,0.02
1536,"[14, 16]",3,3,OPTIMAL,0.02
1540,"[14, 22]",6,6,OPTIMAL,0.09
1544,"[14, 26]",5,5,OPTIMAL,0.05
1548,"[14, 32]",4,4,OPTIMAL,0.01
1552,"[14, 36]",6,6,OPTIMAL,0.10
1556,"[14, 40]",6,6,OPTIMAL,0.10
1560,"[14, 45]",6,6,OPTIMAL,920.95
1564,"[14, 49]",3,3,OPTIMAL,0.06
1568,"[14, 53]",5,5,OPTIMAL,0.11
1572,"[14, 57]",5,5,OPTIMAL,0.07
1576,"[14, 61]",5,5,OPTIMAL,0.07
1580,"[14, 97]",6,6,OPTIMAL,0.10
1584,"[14, 103]",5,5,OPTIMAL,0.10
1588,"[14, 107]",7,7,OPTIMAL,0.61
1592,"[14, 113]",4,4,OPTIMAL,0.04
1596,"[14, 119]",3,3,OPTIMAL,0.03
1600,"[14, 123]",6,6,OPTIMAL,0.12
1604,"[14, 129]",5,5,OPTIMAL,0.07
1608,"[14, 135]",6,6,OPTIMAL,0.12
1612,"[14, 139]",5,5,OPTIMAL,0.07
1616,"[14, 145]",5,5,OPTIMAL,0.07
1620,"[14, 151]",7,7,OPTIMAL,0.45
1624,"[14, 155]",5,5,OPTIMAL,0.09
1628,"[14, 161]",4,4,OPTIMAL,0.03
1632,"[14, 165]",5,5,OPTIMAL,0.07
1636,"[14, 169]",5,5,OPTIMAL,0.07
1640,"[14, 174]",3,3,OPTIMAL,0.02
1644,"[14, 178]",6,6,OPTIMAL,0.11
1648,"[14, 183]",6,6,OPTIMAL,0.11
1652,"[14, 187]",3,3,OPTIMAL,0.02
1656,"[14, 191]",4,4,OPTIMAL,0.02
1660,"[14, 227]",5,5,OPTIMAL,0.06
1664,"[14, 233]",6,6,OPTIMAL,0.11
1668,"[14, 239]",3,3,OPTIMAL,0.03
1672,"[14, 246]",5,5,OPTIMAL,0.06
1676,"[14, 250]",3,3,OPTIMAL,0.02
1680,"[15, 17]",1,1,OPTIMAL,0.01
1684,"[15, 23]",5,4,SUBOPTIMAL,0.09
1688,"[15, 27]",3,3,OPTIMAL,0.01
1692,"[15, 33]",4,4,OPTIMAL,0.03
1696,"[15, 37]",5,4,SUBOPTIMAL,0.09
1700,"[15, 41]",6,6,OPTIMAL,0.17
1704,"[15, 45]",4,4,OPTIMAL,0.04
1708,"[15, 49]",2,2,OPTIMAL,0.02
1712,"[15, 53]",3,3,OPTIMAL,0.02
1716,"[15, 57]",4,4,OPTIMAL,0.04
1720,"[15, 61]",5,4,SUBOPTIMAL,0.12
1724,"[15, 97]",6,6,OPTIMAL,0.14
1728,"[15, 103]",5,4,SUBOPTIMAL,0.12
1732,"[15, 107]",6,6,OPTIMAL,0.15
1736,"[15, 113]",5,4,SUBOPTIMAL,0.10
1740,"[15, 119]",1,1,OPTIMAL,0.03
1744,"[15, 123]",4,4,OPTIMAL,0.03
1748,"[15, 129]",6,5,SUBOPTIMAL,0.15
1752,"[15, 135]",4,4,OPTIMAL,0.03
1756,"[15, 139]",3,3,OPTIMAL,0.02
1760,"[15, 145]",5,4,SUBOPTIMAL,0.09
1764,"[15, 151]",6,6,OPTIMAL,0.13
1768,"[15, 155]",5,4,SUBOPTIMAL,0.12
1772,"[15, 161]",5,4,SUBOPTIMAL,0.10
1776,"[15, 165]",3,3,OPTIMAL,0.02
1780,"[15, 169]",4,4,OPTIMAL,0.02
1784,"[15, 174]",2,2,OPTIMAL,0.02
1788,"[15, 178]",5,4,SUBOPTIMAL,0.10
1792,"[15, 182]",6,6,OPTIMAL,0.13
1796,"[15, 186]",2,2,OPTIMAL,0.04
1800,"[15, 190]",4,4,OPTIMAL,0.05
1804,"[15, 226]",3,3,OPTIMAL,1060.85
1808,"[15, 232]",5,4,SUBOPTIMAL,0.17
1812,"[15, 238]",1,1,OPTIMAL,0.02
1816,"[15, 243]",1,1,OPTIMAL,0.01
1820,"[15, 249]",4,4,OPTIMAL,0.03
1824,"[22, 23]",6,6,OPTIMAL,0.10
1828,"[22, 31]",6,6,OPTIMAL,0.13
1832,"[22, 45]",8,8,OPTIMAL,3.12
1836,"[22, 63]",6,6,OPTIMAL,0.12
1840,"[22, 126]",8,8,OPTIMAL,1073.50
1844,"[22, 130]",7,7,OPTIMAL,0.62
1848,"[22, 138]",7,7,OPTIMAL,0.70
1852,"[22, 154]",8,8,OPTIMAL,297.69
1856,"[22, 169]",6,6,OPTIMAL,0.10
1860,"[22, 188]",7,7,OPTIMAL,0.37
1864,"[22, 233]",6,6,OPTIMAL,0.12
1868,"[22, 239]",6,6,OPTIMAL,0.12
1872,"[23, 27]",6,6,OPTIMAL,0.10
1876,"[23, 42]",5,5,OPTIMAL,0.07
1880,"[23, 46]",6,6,OPTIMAL,0.10
1884,"[23, 104]",6,6,OPTIMAL,0.11
1888,"[23, 126]",7,7,OPTIMAL,0.36
1892,"[23, 130]",6,6,OPTIMAL,0.11
1896,"[23, 139]",6,6,OPTIMAL,0.19
1900,"[23, 151]",6,6,OPTIMAL,0.14
1904,"[23, 159]",5,5,OPTIMAL,0.10
1908,"[23, 172]",6,6,OPTIMAL,0.11
1912,"[23, 189]",6,6,OPTIMAL,0.13
1916,"[23, 233]",6,6,OPTIMAL,0.14
1920,"[23, 239]",5,5,OPTIMAL,0.09
1924,"[24, 27]",5,5,OPTIMAL,0.05
1928,"[24, 33]",6,6,OPTIMAL,0.14
1932,"[24, 37]",7,7,OPTIMAL,0.52
1936,"[24, 42]",6,6,OPTIMAL,0.12
1940,"[24, 46]",7,7,OPTIMAL,0.38
1944,"[24, 50]",6,6,OPTIMAL,0.13
1948,"[24, 54]",8,8,OPTIMAL,3.92
1952,"[24, 58]",5,5,OPTIMAL,0.09
1956,"[24, 62]",7,7,OPTIMAL,0.66
1960,"[24, 98]",7,7,OPTIMAL,0.51
1964,"[24, 105]",9,9,OPTIMAL,22.09
1968,"[24, 112]",6,6,OPTIMAL,0.11
1972,"[24, 118]",7,7,OPTIMAL,0.40
1976,"[24, 122]",7,7,OPTIMAL,0.41
1980,"[24, 128]",6,6,OPTIMAL,0.13
1984,"[24, 134]",8,8,OPTIMAL,2.54
1988,"[24, 138]",6,6,OPTIMAL,0.25
1992,"[24, 144]",7,7,OPTIMAL,0.56
1996,"[24, 152]",6,6,OPTIMAL,0.12
2000,"[24, 158]",8,8,OPTIMAL,2.77
2004,"[24, 162]",5,5,OPTIMAL,0.07
2008,"[24, 166]",7,7,OPTIMAL,0.34
2012,"[24, 171]",6,6,OPTIMAL,0.09
2016,"[24, 175]",5,5,OPTIMAL,0.08
2020,"[24, 179]",6,6,OPTIMAL,0.11
2024,"[24, 184]",5,5,OPTIMAL,0.05
2028,"[24, 188]",7,7,OPTIMAL,0.37
2032,"[24, 224]",5,5,OPTIMAL,0.09
2036,"[24, 230]",6,6,OPTIMAL,0.13
2040,"[24, 235]",7,7,OPTIMAL,0.68
2044,"[24, 242]",6,6,OPTIMAL,0.12
2048,"[24, 248]",5,5,OPTIMAL,0.10
2052,"[24, 254]",6,6,OPTIMAL,0.19
2056,"[25, 31]",5,5,OPTIMAL,0.08
2060,"[25, 35]",6,6,OPTIMAL,0.13
2064,"[25, 40]",7,7,OPTIMAL,0.53
2068,"[25, 44]",7,7,OPTIMAL,0.44
2072,"[25, 48]",5,5,OPTIMAL,0.07
2076,"[25, 52]",7,7,OPTIMAL,0.43
2080,"[25, 57]",6,6,OPTIMAL,0.11
2084,"[25, 61]",7,7,OPTIMAL,0.41
2088,"[25, 98]",7,7,OPTIMAL,0.48
2092,"[25, 105]",7,7,OPTIMAL,0.40
2096,"[25, 112]",5,5,OPTIMAL,241.46
2100,"[25, 119]",4,4,OPTIMAL,0.06
2104,"[25, 123]",6,6,OPTIMAL,0.09
2108,"[25, 129]",7,7,OPTIMAL,0.38
2112,"[25, 135]",6,6,OPTIMAL,0.11
2116,"[25, 139]",6,6,OPTIMAL,0.09
2120,"[25, 147]",7,7,OPTIMAL,0.36
2124,"[25, 154]",8,8,OPTIMAL,3.01
2128,"[25, 161]",7,7,OPTIMAL,0.34
2132,"[25, 165]",6,6,OPTIMAL,0.09
2136,"[25, 171]",6,6,OPTIMAL,0.10
2140,"[25, 175]",5,5,OPTIMAL,0.06
2144,"[25, 179]",5,5,OPTIMAL,0.06
2148,"[25, 183]",7,7,OPTIMAL,0.45
2152,"[25, 188]",6,6,OPTIMAL,0.08
2156,"[25, 224]",5,5,OPTIMAL,0.07
2160,"[25, 230]",4,4,OPTIMAL,0.02
2164,"[25, 235]",7,7,OPTIMAL,0.32
2168,"[25, 242]",5,5,OPTIMAL,0.06
