line_idx,tts,k_theirs,k_opt,verdict,t_sec
80,"[1, 7]",4,4,OPTIMAL,0.01
84,"[1, 11]",3,3,OPTIMAL,0.00
88,"[1, 23]",5,5,OPTIMAL,0.02
92,"[1, 27]",4,4,OPTIMAL,0.01
96,"[1, 41]",6,6,OPTIMAL,0.04
100,"[1, 45]",5,5,OPTIMAL,0.03
104,"[1, 61]",5,5,OPTIMAL,0.03
108,"[1, 105]",7,7,OPTIMAL,0.29
112,"[1, 111]",5,5,OPTIMAL,0.04
116,"[1, 129]",5,5,OPTIMAL,0.05
120,"[1, 135]",6,6,OPTIMAL,0.08
124,"[1, 139]",4,4,OPTIMAL,0.01
128,"[1, 151]",7,7,OPTIMAL,0.42
132,"[1, 155]",5,5,OPTIMAL,0.06
136,"[1, 169]",4,4,OPTIMAL,0.02
140,"[1, 174]",3,3,OPTIMAL,0.01
144,"[1, 190]",5,5,OPTIMAL,0.06
148,"[1, 234]",4,4,OPTIMAL,0.02
152,"[1, 254]",2,2,OPTIMAL,0.01
156,"[2, 6]",5,5,OPTIMAL,0.08
160,"[2, 10]",2,2,OPTIMAL,0.02
164,"[2, 14]",3,3,OPTIMAL,0.02
168,"[2, 22]",6,6,OPTIMAL,0.12
172,"[2, 26]",5,5,OPTIMAL,0.07
176,"[2, 30]",5,5,OPTIMAL,0.08
180,"[2, 42]",4,4,OPTIMAL,0.03
184,"[2, 46]",4,4,OPTIMAL,0.03
188,"[2, 62]",5,5,OPTIMAL,0.09
192,"[2, 66]",5,5,OPTIMAL,0.10
196,"[2, 70]",4,4,OPTIMAL,0.04
200,"[2, 74]",5,5,OPTIMAL,0.14
204,"[2, 78]",4,4,OPTIMAL,0.07
208,"[2, 86]",4,4,OPTIMAL,0.04
212,"[2, 90]",4,4,OPTIMAL,0.05
216,"[2, 94]",5,5,OPTIMAL,0.12
220,"[2, 106]",6,6,OPTIMAL,0.17
224,"[2, 110]",5,5,OPTIMAL,0.10
228,"[2, 126]",6,6,OPTIMAL,0.15
232,"[2, 130]",5,5,OPTIMAL,0.09
236,"[2, 134]",6,6,OPTIMAL,0.15
240,"[2, 138]",3,3,OPTIMAL,0.03
244,"[2, 142]",5,5,OPTIMAL,0.10
248,"[2, 150]",7,7,OPTIMAL,0.53
252,"[2, 154]",5,5,OPTIMAL,0.08
256,"[2, 158]",7,7,OPTIMAL,0.43
260,"[2, 171]",3,3,OPTIMAL,0.02
264,"[2, 175]",3,3,OPTIMAL,0.02
268,"[2, 191]",4,4,OPTIMAL,0.03
272,"[2, 195]",4,4,OPTIMAL,0.03
276,"[2, 199]",5,5,OPTIMAL,0.07
280,"[2, 203]",5,5,OPTIMAL,0.07
284,"[2, 212]",5,5,OPTIMAL,0.07
288,"[2, 216]",4,4,OPTIMAL,0.03
292,"[2, 220]",4,4,OPTIMAL,0.03
296,"[2, 232]",5,5,OPTIMAL,0.07
300,"[2, 236]",3,3,OPTIMAL,0.02
304,"[2, 252]",2,2,OPTIMAL,0.03
308,"[3, 5]",2,2,OPTIMAL,0.02
312,"[3, 9]",5,5,OPTIMAL,0.08
316,"[3, 13]",3,3,OPTIMAL,0.02
320,"[3, 21]",3,3,OPTIMAL,0.02
324,"[3, 25]",5,5,OPTIMAL,0.07
328,"[3, 29]",4,4,OPTIMAL,0.04
332,"[3, 41]",6,6,OPTIMAL,0.13
336,"[3, 45]",5,5,OPTIMAL,0.09
340,"[3, 61]",4,4,OPTIMAL,0.03
344,"[3, 65]",4,4,OPTIMAL,0.03
348,"[3, 69]",3,3,OPTIMAL,0.02
352,"[3, 73]",7,7,OPTIMAL,0.62
356,"[3, 77]",5,5,OPTIMAL,0.07
360,"[3, 85]",1,1,OPTIMAL,0.02
364,"[3, 89]",5,5,OPTIMAL,0.07
368,"[3, 93]",3,3,OPTIMAL,0.02
372,"[3, 105]",6,6,OPTIMAL,0.10
376,"[3, 109]",7,7,OPTIMAL,0.65
380,"[3, 125]",4,4,OPTIMAL,0.03
384,"[3, 129]",5,5,OPTIMAL,0.07
388,"[3, 133]",5,5,OPTIMAL,0.09
392,"[3, 137]",4,4,OPTIMAL,0.03
396,"[3, 141]",4,4,OPTIMAL,0.02
400,"[3, 149]",5,5,OPTIMAL,0.07
404,"[3, 153]",4,4,OPTIMAL,0.02
408,"[3, 157]",5,5,OPTIMAL,0.08
412,"[3, 169]",4,4,OPTIMAL,0.02
416,"[3, 174]",3,3,OPTIMAL,0.04
420,"[3, 190]",4,4,OPTIMAL,0.02
424,"[3, 194]",4,4,OPTIMAL,0.03
428,"[3, 198]",5,5,OPTIMAL,0.07
432,"[3, 202]",4,4,OPTIMAL,0.03
436,"[3, 207]",2,2,OPTIMAL,0.01
440,"[3, 215]",4,4,OPTIMAL,0.04
444,"[3, 219]",5,5,OPTIMAL,0.08
448,"[3, 223]",3,3,OPTIMAL,0.03
452,"[3, 235]",4,4,OPTIMAL,0.03
456,"[3, 239]",3,3,OPTIMAL,0.01
460,"[6, 7]",4,4,OPTIMAL,0.04
464,"[6, 11]",5,5,OPTIMAL,0.06
468,"[6, 17]",4,4,OPTIMAL,0.03
472,"[6, 23]",5,5,OPTIMAL,0.08
476,"[6, 27]",6,6,OPTIMAL,0.10
480,"[6, 33]",6,6,OPTIMAL,0.11
484,"[6, 37]",7,7,OPTIMAL,0.38
488,"[6, 41]",6,6,OPTIMAL,0.10
492,"[6, 45]",7,7,OPTIMAL,0.42
496,"[6, 49]",5,5,OPTIMAL,0.09
500,"[6, 53]",6,6,OPTIMAL,0.12
504,"[6, 57]",5,5,OPTIMAL,0.07
508,"[6, 61]",7,7,OPTIMAL,0.60
512,"[6, 97]",7,7,OPTIMAL,0.76
516,"[6, 103]",6,6,OPTIMAL,0.18
520,"[6, 107]",7,7,OPTIMAL,0.56
524,"[6, 113]",5,5,OPTIMAL,0.08
528,"[6, 119]",4,4,OPTIMAL,0.03
532,"[6, 123]",6,6,OPTIMAL,0.14
536,"[6, 129]",6,6,OPTIMAL,0.16
540,"[6, 135]",6,6,OPTIMAL,0.14
544,"[6, 139]",6,6,OPTIMAL,0.13
548,"[6, 145]",6,6,OPTIMAL,0.14
552,"[6, 151]",7,7,OPTIMAL,0.44
556,"[6, 155]",6,6,OPTIMAL,0.10
560,"[6, 161]",6,6,OPTIMAL,0.09
564,"[6, 165]",7,7,OPTIMAL,0.41
568,"[6, 169]",5,5,OPTIMAL,0.06
572,"[6, 174]",5,5,OPTIMAL,0.07
576,"[6, 178]",6,6,OPTIMAL,0.09
580,"[6, 182]",6,6,OPTIMAL,0.10
584,"[6, 186]",6,6,OPTIMAL,0.12
588,"[6, 190]",6,6,OPTIMAL,0.11
592,"[6, 226]",6,6,OPTIMAL,0.10
596,"[6, 232]",5,5,OPTIMAL,0.06
600,"[6, 238]",4,4,OPTIMAL,0.02
604,"[6, 243]",5,5,OPTIMAL,0.08
608,"[6, 249]",4,4,OPTIMAL,0.02
612,"[7, 8]",3,3,OPTIMAL,0.03
616,"[7, 14]",4,4,OPTIMAL,0.04
620,"[7, 18]",6,6,OPTIMAL,0.11
624,"[7, 24]",5,5,OPTIMAL,0.06
628,"[7, 30]",6,6,OPTIMAL,0.10
632,"[7, 34]",3,3,OPTIMAL,0.01
636,"[7, 38]",5,5,OPTIMAL,0.06
640,"[7, 43]",6,6,OPTIMAL,0.11
644,"[7, 47]",4,4,OPTIMAL,0.02
648,"[7, 51]",2,2,OPTIMAL,0.01
652,"[7, 55]",3,3,OPTIMAL,0.01
656,"[7, 59]",4,4,OPTIMAL,0.02
660,"[7, 63]",3,3,OPTIMAL,0.01
664,"[7, 99]",6,6,OPTIMAL,0.10
668,"[7, 105]",7,7,OPTIMAL,0.38
672,"[7, 111]",5,5,OPTIMAL,0.06
676,"[7, 115]",4,4,OPTIMAL,0.02
680,"[7, 121]",6,6,OPTIMAL,0.10
684,"[7, 127]",3,3,OPTIMAL,0.02
688,"[7, 131]",5,5,OPTIMAL,0.07
692,"[7, 137]",5,5,OPTIMAL,0.07
696,"[7, 143]",3,3,OPTIMAL,0.02
700,"[7, 147]",6,6,OPTIMAL,0.11
704,"[7, 153]",4,4,OPTIMAL,0.03
708,"[7, 159]",5,5,OPTIMAL,0.07
712,"[7, 163]",5,5,OPTIMAL,0.07
716,"[7, 167]",4,4,OPTIMAL,0.03
