line_idx,tts,k_theirs,k_opt,verdict,t_sec
78,"[1, 3]",2,2,OPTIMAL,0.01
82,"[1, 9]",5,5,OPTIMAL,0.03
86,"[1, 15]",2,2,OPTIMAL,0.00
90,"[1, 25]",5,5,OPTIMAL,0.03
94,"[1, 31]",3,3,OPTIMAL,0.00
98,"[1, 43]",5,5,OPTIMAL,0.03
102,"[1, 47]",4,4,OPTIMAL,0.01
106,"[1, 63]",3,3,OPTIMAL,0.00
110,"[1, 107]",7,7,OPTIMAL,0.31
114,"[1, 127]",4,4,OPTIMAL,0.01
118,"[1, 131]",5,5,OPTIMAL,0.04
122,"[1, 137]",4,4,OPTIMAL,0.01
126,"[1, 143]",4,4,OPTIMAL,0.01
130,"[1, 153]",4,4,OPTIMAL,0.01
134,"[1, 159]",5,5,OPTIMAL,0.05
138,"[1, 172]",4,4,OPTIMAL,0.01
142,"[1, 188]",5,5,OPTIMAL,0.05
146,"[1, 232]",5,5,OPTIMAL,0.05
150,"[1, 238]",2,2,OPTIMAL,0.01
154,"[2, 4]",4,4,OPTIMAL,0.01
158,"[2, 8]",3,3,OPTIMAL,0.01
162,"[2, 12]",3,3,OPTIMAL,0.01
166,"[2, 20]",5,5,OPTIMAL,0.06
170,"[2, 24]",6,6,OPTIMAL,0.09
174,"[2, 28]",5,5,OPTIMAL,0.06
178,"[2, 40]",5,5,OPTIMAL,0.06
182,"[2, 44]",5,5,OPTIMAL,0.06
186,"[2, 60]",4,4,OPTIMAL,0.02
190,"[2, 64]",4,4,OPTIMAL,0.02
194,"[2, 68]",3,3,OPTIMAL,0.01
198,"[2, 72]",5,5,OPTIMAL,0.06
202,"[2, 76]",4,4,OPTIMAL,0.02
206,"[2, 84]",3,3,OPTIMAL,0.01
210,"[2, 88]",5,5,OPTIMAL,0.06
214,"[2, 92]",4,4,OPTIMAL,0.05
218,"[2, 104]",7,7,OPTIMAL,0.59
222,"[2, 108]",5,5,OPTIMAL,0.14
226,"[2, 124]",5,5,OPTIMAL,0.14
230,"[2, 128]",4,4,OPTIMAL,0.05
234,"[2, 132]",5,5,OPTIMAL,0.12
238,"[2, 136]",3,3,OPTIMAL,0.03
242,"[2, 140]",4,4,OPTIMAL,0.04
246,"[2, 148]",7,7,OPTIMAL,0.64
250,"[2, 152]",5,5,OPTIMAL,0.09
254,"[2, 156]",6,6,OPTIMAL,0.12
258,"[2, 168]",3,3,OPTIMAL,0.02
262,"[2, 173]",4,4,OPTIMAL,0.03
266,"[2, 189]",5,5,OPTIMAL,0.08
270,"[2, 193]",5,5,OPTIMAL,0.08
274,"[2, 197]",4,4,OPTIMAL,0.03
278,"[2, 201]",5,5,OPTIMAL,0.08
282,"[2, 206]",3,3,OPTIMAL,0.03
286,"[2, 214]",6,6,OPTIMAL,0.12
290,"[2, 218]",5,5,OPTIMAL,0.08
294,"[2, 222]",5,5,OPTIMAL,0.07
298,"[2, 234]",4,4,OPTIMAL,0.03
302,"[2, 238]",3,3,OPTIMAL,0.02
306,"[2, 254]",3,3,OPTIMAL,0.02
310,"[3, 7]",3,3,OPTIMAL,0.02
314,"[3, 11]",3,3,OPTIMAL,0.02
318,"[3, 15]",1,1,OPTIMAL,0.02
322,"[3, 23]",4,4,OPTIMAL,0.03
326,"[3, 27]",4,4,OPTIMAL,0.03
330,"[3, 31]",3,3,OPTIMAL,0.02
334,"[3, 43]",4,4,OPTIMAL,0.03
338,"[3, 47]",3,3,OPTIMAL,0.02
342,"[3, 63]",2,2,OPTIMAL,0.02
346,"[3, 67]",4,4,OPTIMAL,0.03
350,"[3, 71]",3,3,OPTIMAL,0.02
354,"[3, 75]",5,5,OPTIMAL,0.07
358,"[3, 79]",3,3,OPTIMAL,0.02
362,"[3, 87]",2,2,OPTIMAL,0.02
366,"[3, 91]",5,5,OPTIMAL,0.07
370,"[3, 95]",2,2,OPTIMAL,0.02
374,"[3, 107]",6,6,OPTIMAL,0.11
378,"[3, 111]",5,5,OPTIMAL,0.07
382,"[3, 127]",3,3,OPTIMAL,0.02
386,"[3, 131]",4,4,OPTIMAL,0.03
390,"[3, 135]",5,5,OPTIMAL,0.07
394,"[3, 139]",3,3,OPTIMAL,0.02
398,"[3, 143]",3,3,OPTIMAL,0.03
402,"[3, 151]",6,6,OPTIMAL,0.13
406,"[3, 155]",5,5,OPTIMAL,0.07
