line_idx,tts,k_theirs,k_opt,verdict,t_sec
77,"[1, 2]",3,3,OPTIMAL,0.01
81,"[1, 8]",4,4,OPTIMAL,0.01
85,"[1, 14]",3,3,OPTIMAL,0.00
89,"[1, 24]",6,6,OPTIMAL,0.04
93,"[1, 30]",4,4,OPTIMAL,0.01
97,"[1, 42]",4,4,OPTIMAL,0.01
101,"[1, 46]",4,4,OPTIMAL,0.01
105,"[1, 62]",4,4,OPTIMAL,0.01
109,"[1, 106]",6,6,OPTIMAL,0.05
113,"[1, 126]",5,5,OPTIMAL,0.03
117,"[1, 130]",5,5,OPTIMAL,0.03
121,"[1, 136]",3,3,OPTIMAL,0.01
125,"[1, 142]",5,5,OPTIMAL,0.03
129,"[1, 152]",5,5,OPTIMAL,0.04
133,"[1, 158]",6,6,OPTIMAL,0.06
137,"[1, 171]",3,3,OPTIMAL,0.01
141,"[1, 175]",3,3,OPTIMAL,0.01
145,"[1, 191]",4,4,OPTIMAL,0.01
149,"[1, 235]",5,5,OPTIMAL,0.04
153,"[2, 3]",2,2,OPTIMAL,0.00
157,"[2, 7]",3,3,OPTIMAL,0.01
161,"[2, 11]",4,4,OPTIMAL,0.01
165,"[2, 15]",2,2,OPTIMAL,0.00
169,"[2, 23]",5,5,OPTIMAL,0.04
173,"[2, 27]",4,4,OPTIMAL,0.01
177,"[2, 31]",4,4,OPTIMAL,0.01
181,"[2, 43]",5,5,OPTIMAL,0.05
185,"[2, 47]",3,3,OPTIMAL,0.01
189,"[2, 63]",3,3,OPTIMAL,0.01
193,"[2, 67]",5,5,OPTIMAL,0.05
197,"[2, 71]",4,4,OPTIMAL,0.01
201,"[2, 75]",6,6,OPTIMAL,0.09
205,"[2, 79]",4,4,OPTIMAL,0.02
209,"[2, 87]",3,3,OPTIMAL,0.01
213,"[2, 91]",5,5,OPTIMAL,0.06
217,"[2, 95]",3,3,OPTIMAL,0.01
221,"[2, 107]",7,7,OPTIMAL,0.41
225,"[2, 111]",5,5,OPTIMAL,0.08
229,"[2, 127]",4,4,OPTIMAL,0.02
233,"[2, 131]",5,5,OPTIMAL,0.07
237,"[2, 135]",5,5,OPTIMAL,0.07
241,"[2, 139]",4,4,OPTIMAL,0.02
245,"[2, 143]",4,4,OPTIMAL,0.02
249,"[2, 151]",7,7,OPTIMAL,0.81
253,"[2, 155]",5,5,OPTIMAL,0.11
257,"[2, 159]",5,5,OPTIMAL,0.10
261,"[2, 172]",4,4,OPTIMAL,0.03
265,"[2, 188]",5,5,OPTIMAL,0.09
269,"[2, 192]",3,3,OPTIMAL,0.03
273,"[2, 196]",3,3,OPTIMAL,0.02
277,"[2, 200]",4,4,OPTIMAL,0.03
281,"[2, 205]",3,3,OPTIMAL,0.02
285,"[2, 213]",4,4,OPTIMAL,0.03
289,"[2, 217]",5,5,OPTIMAL,0.10
293,"[2, 221]",2,2,OPTIMAL,0.02
297,"[2, 233]",6,6,OPTIMAL,0.16
301,"[2, 237]",5,5,OPTIMAL,0.08
305,"[2, 253]",2,2,OPTIMAL,0.02
309,"[3, 6]",5,5,OPTIMAL,0.08
313,"[3, 10]",2,2,OPTIMAL,0.02
317,"[3, 14]",3,3,OPTIMAL,0.02
321,"[3, 22]",6,6,OPTIMAL,0.12
325,"[3, 26]",5,5,OPTIMAL,0.08
329,"[3, 30]",5,5,OPTIMAL,0.08
333,"[3, 42]",3,3,OPTIMAL,0.02
337,"[3, 46]",4,4,OPTIMAL,0.03
341,"[3, 62]",4,4,OPTIMAL,0.03
345,"[3, 66]",5,5,OPTIMAL,0.08
349,"[3, 70]",4,4,OPTIMAL,0.03
353,"[3, 74]",5,5,OPTIMAL,0.08
357,"[3, 78]",4,4,OPTIMAL,0.03
361,"[3, 86]",4,4,OPTIMAL,0.03
365,"[3, 90]",4,4,OPTIMAL,0.03
369,"[3, 94]",4,4,OPTIMAL,0.03
373,"[3, 106]",5,5,OPTIMAL,0.07
377,"[3, 110]",5,5,OPTIMAL,0.07
381,"[3, 126]",5,5,OPTIMAL,0.07
385,"[3, 130]",4,4,OPTIMAL,0.03
389,"[3, 134]",7,7,OPTIMAL,0.60
393,"[3, 138]",3,3,OPTIMAL,0.03
397,"[3, 142]",5,5,OPTIMAL,0.08
401,"[3, 150]",6,6,OPTIMAL,0.12
405,"[3, 154]",5,5,OPTIMAL,0.07
409,"[3, 158]",7,7,OPTIMAL,0.60
413,"[3, 171]",2,2,OPTIMAL,0.02
417,"[3, 175]",2,2,OPTIMAL,0.03
421,"[3, 191]",3,3,OPTIMAL,0.02
425,"[3, 195]",3,3,OPTIMAL,0.03
429,"[3, 199]",4,4,OPTIMAL,0.04
433,"[3, 203]",4,4,OPTIMAL,0.03
437,"[3, 212]",4,4,OPTIMAL,0.03
441,"[3, 216]",4,4,OPTIMAL,0.04
445,"[3, 220]",3,3,OPTIMAL,0.02
449,"[3, 232]",4,4,OPTIMAL,0.03
453,"[3, 236]",3,3,OPTIMAL,0.02
