line_idx,tts,k_theirs,k_opt,verdict,t_sec
79,"[1, 6]",5,5,OPTIMAL,0.03
83,"[1, 10]",3,3,OPTIMAL,0.01
87,"[1, 22]",6,6,OPTIMAL,0.04
91,"[1, 26]",5,5,OPTIMAL,0.03
95,"[1, 40]",5,5,OPTIMAL,0.03
99,"[1, 44]",5,5,OPTIMAL,0.03
103,"[1, 60]",4,4,OPTIMAL,0.01
107,"[1, 104]",7,7,OPTIMAL,0.35
111,"[1, 110]",5,5,OPTIMAL,0.05
115,"[1, 128]",4,4,OPTIMAL,0.01
119,"[1, 134]",7,7,OPTIMAL,0.41
123,"[1, 138]",4,4,OPTIMAL,0.02
127,"[1, 150]",7,7,OPTIMAL,0.38
131,"[1, 154]",5,5,OPTIMAL,0.07
135,"[1, 168]",3,3,OPTIMAL,0.01
139,"[1, 173]",5,5,OPTIMAL,0.07
143,"[1, 189]",6,6,OPTIMAL,0.14
147,"[1, 233]",6,6,OPTIMAL,0.15
151,"[1, 239]",3,3,OPTIMAL,0.03
155,"[2, 5]",3,3,OPTIMAL,0.03
159,"[2, 9]",5,5,OPTIMAL,0.13
163,"[2, 13]",3,3,OPTIMAL,0.04
167,"[2, 21]",4,4,OPTIMAL,0.05
171,"[2, 25]",5,5,OPTIMAL,0.13
175,"[2, 29]",4,4,OPTIMAL,0.04
179,"[2, 41]",6,6,OPTIMAL,0.18
183,"[2, 45]",4,4,OPTIMAL,0.04
187,"[2, 61]",4,4,OPTIMAL,0.03
191,"[2, 65]",5,5,OPTIMAL,0.10
195,"[2, 69]",4,4,OPTIMAL,0.04
199,"[2, 73]",7,7,OPTIMAL,0.63
203,"[2, 77]",5,5,OPTIMAL,0.08
207,"[2, 85]",2,2,OPTIMAL,0.02
211,"[2, 89]",5,5,OPTIMAL,0.08
215,"[2, 93]",3,3,OPTIMAL,0.02
219,"[2, 105]",7,7,OPTIMAL,0.47
223,"[2, 109]",6,6,OPTIMAL,0.11
227,"[2, 125]",5,5,OPTIMAL,0.07
231,"[2, 129]",6,6,OPTIMAL,0.10
235,"[2, 133]",5,5,OPTIMAL,0.07
239,"[2, 137]",5,5,OPTIMAL,0.07
243,"[2, 141]",4,4,OPTIMAL,0.03
247,"[2, 149]",6,6,OPTIMAL,0.11
251,"[2, 153]",4,4,OPTIMAL,0.02
255,"[2, 157]",5,5,OPTIMAL,0.07
259,"[2, 169]",4,4,OPTIMAL,0.03
263,"[2, 174]",4,4,OPTIMAL,0.03
267,"[2, 190]",5,5,OPTIMAL,0.07
271,"[2, 194]",4,4,OPTIMAL,0.03
275,"[2, 198]",4,4,OPTIMAL,0.03
279,"[2, 202]",4,4,OPTIMAL,0.04
283,"[2, 207]",3,3,OPTIMAL,0.03
287,"[2, 215]",5,5,OPTIMAL,0.07
291,"[2, 219]",6,6,OPTIMAL,0.12
295,"[2, 223]",3,3,OPTIMAL,0.02
299,"[2, 235]",5,5,OPTIMAL,0.08
303,"[2, 239]",4,4,OPTIMAL,0.03
307,"[3, 4]",3,3,OPTIMAL,0.02
311,"[3, 8]",3,3,OPTIMAL,0.02
315,"[3, 12]",2,2,OPTIMAL,0.03
319,"[3, 20]",4,4,OPTIMAL,0.03
323,"[3, 24]",5,5,OPTIMAL,0.06
327,"[3, 28]",4,4,OPTIMAL,0.03
331,"[3, 40]",4,4,OPTIMAL,0.03
335,"[3, 44]",4,4,OPTIMAL,0.04
339,"[3, 60]",3,3,OPTIMAL,0.02
343,"[3, 64]",3,3,OPTIMAL,0.02
347,"[3, 68]",2,2,OPTIMAL,0.02
351,"[3, 72]",5,5,OPTIMAL,0.07
355,"[3, 76]",3,3,OPTIMAL,0.02
359,"[3, 84]",2,2,OPTIMAL,0.02
363,"[3, 88]",5,5,OPTIMAL,0.07
367,"[3, 92]",3,3,OPTIMAL,0.02
371,"[3, 104]",6,6,OPTIMAL,0.13
375,"[3, 108]",5,5,OPTIMAL,0.07
379,"[3, 124]",4,4,OPTIMAL,0.03
383,"[3, 128]",3,3,OPTIMAL,0.02
387,"[3, 132]",5,5,OPTIMAL,0.09
391,"[3, 136]",2,2,OPTIMAL,0.02
395,"[3, 140]",3,3,OPTIMAL,0.02
399,"[3, 148]",6,6,OPTIMAL,0.11
403,"[3, 152]",5,5,OPTIMAL,0.07
407,"[3, 156]",5,5,OPTIMAL,0.08
411,"[3, 168]",2,2,OPTIMAL,0.03
415,"[3, 173]",4,4,OPTIMAL,0.03
419,"[3, 189]",5,5,OPTIMAL,0.08
423,"[3, 193]",4,4,OPTIMAL,0.03
427,"[3, 197]",4,4,OPTIMAL,0.03
431,"[3, 201]",5,5,OPTIMAL,0.10
435,"[3, 206]",3,3,OPTIMAL,0.04
439,"[3, 214]",6,6,OPTIMAL,0.15
443,"[3, 218]",5,5,OPTIMAL,0.06
447,"[3, 222]",5,5,OPTIMAL,0.08
451,"[3, 234]",3,3,OPTIMAL,0.02
455,"[3, 238]",2,2,OPTIMAL,0.02
459,"[3, 254]",2,2,OPTIMAL,0.02
463,"[6, 10]",5,5,OPTIMAL,0.07
467,"[6, 16]",5,5,OPTIMAL,0.07
471,"[6, 22]",6,6,OPTIMAL,0.10
475,"[6, 26]",7,7,OPTIMAL,0.45
479,"[6, 32]",5,5,OPTIMAL,0.07
483,"[6, 36]",7,7,OPTIMAL,0.43
487,"[6, 40]",6,6,OPTIMAL,0.10
491,"[6, 44]",7,7,OPTIMAL,0.48
495,"[6, 48]",5,5,OPTIMAL,0.08
499,"[6, 52]",7,7,OPTIMAL,0.39
503,"[6, 56]",6,6,OPTIMAL,0.11
507,"[6, 60]",7,7,OPTIMAL,0.50
511,"[6, 96]",5,5,OPTIMAL,0.10
515,"[6, 102]",4,4,OPTIMAL,0.05
519,"[6, 106]",7,7,OPTIMAL,0.76
523,"[6, 112]",5,5,OPTIMAL,0.08
527,"[6, 118]",5,5,OPTIMAL,0.08
531,"[6, 122]",7,7,OPTIMAL,0.58
535,"[6, 128]",5,5,OPTIMAL,0.11
539,"[6, 134]",6,6,OPTIMAL,0.15
