npn_rep_hex,opt_catalogo,opt_rederivado,match,t_sec
0x0001,3,3,OK,0.0
0x0017,5,5,OK,0.2
0x003c,4,4,OK,0.1
0x007e,6,6,OK,0.4
0x0119,7,7,OK,1.3
0x012d,7,7,OK,1.0
0x0168,9,9,OK,118.6
0x017e,8,8,OK,9.3
0x0186,9,9,OK,128.6
0x0197,9,9,OK,112.3
0x019f,7,7,OK,1.2
0x01ad,6,6,OK,0.5
0x01bf,6,6,OK,0.4
0x01ef,4,4,OK,0.1
0x0357,3,3,OK,0.0
0x035f,4,4,OK,0.1
0x036d,8,8,OK,22.2
0x03c0,5,5,OK,0.2
0x03cf,3,3,OK,0.0
0x03d9,7,7,OK,1.4
0x0660,7,7,OK,1.3
0x0669,9,9,OK,127.0
0x0678,9,9,OK,136.2
0x0691,9,9,OK,90.9
0x06b1,9,9,OK,101.5
0x06b7,8,8,OK,7.7
0x06f6,6,6,OK,0.3
0x077e,8,8,OK,11.8
0x07bc,7,7,OK,2.4
0x07e9,7,7,OK,3.6
0x1668,9,9,OK,83.8
0x1681,10,10,OK,1294.2
0x168e,9,9,OK,84.7
0x169b,9,9,OK,73.7
0x16e9,9,9,OK,101.4
0x17ac,8,8,OK,9.3
0x1bd8,9,9,OK,151.8
