npn_rep_hex,opt_catalogo,opt_rederivado,match,t_sec
0x0006,5,5,OK,0.2
0x0019,5,5,OK,0.2
0x003f,2,2,OK,0.0
0x00ff,0,0,OK,0.0
0x011b,6,6,OK,0.2
0x013c,7,7,OK,1.0
0x016a,8,8,OK,17.5
0x0180,7,7,OK,1.5
0x0189,5,5,OK,0.2
0x0199,6,6,OK,0.4
0x01a9,5,5,OK,0.1
0x01af,4,4,OK,0.1
0x01e9,7,7,OK,1.5
0x033c,6,6,OK,0.4
0x0359,7,7,OK,1.3
0x0369,8,8,OK,8.8
0x036f,7,7,OK,1.1
0x03c3,4,4,OK,0.1
0x03d5,6,6,OK,0.3
0x03dc,6,6,OK,0.3
0x0662,7,7,OK,1.6
0x066f,7,7,OK,1.2
0x067a,8,8,OK,11.7
0x0696,7,7,OK,1.3
0x06b3,8,8,OK,10.0
0x06bd,8,8,OK,10.3
0x0776,7,7,OK,1.5
0x07b1,8,8,OK,12.6
0x07e1,7,7,OK,2.6
0x07f1,7,7,OK,1.3
