npn_rep_hex,opt_catalogo,opt_rederivado,match,t_sec
0x0000,0,0,OK,0.0
0x0016,7,7,OK,1.2
0x001f,3,3,OK,0.0
0x006f,5,5,OK,0.2
0x0118,8,8,OK,10.5
0x012c,8,8,OK,9.0
0x013f,5,5,OK,0.2
0x016f,6,6,OK,0.5
0x0183,6,6,OK,0.3
0x0196,9,9,OK,101.9
0x019e,9,9,OK,98.4
0x01ac,7,7,OK,1.1
0x01be,8,8,OK,9.0
0x01ee,5,5,OK,0.2
0x0356,5,5,OK,0.1
0x035e,7,7,OK,1.4
0x036c,7,7,OK,2.3
0x037e,8,8,OK,10.1
0x03c7,5,5,OK,0.2
0x03d8,7,7,OK,1.4
0x03fc,4,4,OK,0.1
0x0667,7,7,OK,1.4
0x0676,6,6,OK,0.3
0x0690,8,8,OK,9.7
0x06b0,8,8,OK,9.0
0x06b6,7,7,OK,1.1
0x06f2,7,7,OK,1.6
0x077a,7,7,OK,1.3
0x07b6,8,8,OK,11.8
0x07e6,7,7,OK,1.5
0x0ff0,3,3,OK,0.0
0x167e,9,9,OK,194.3
0x168b,9,9,OK,145.3
0x169a,8,8,OK,6.5
0x16bc,8,8,OK,11.9
0x179a,8,8,OK,9.7
0x19e6,7,7,OK,2.4
