npn_rep_hex,opt_catalogo,opt_rederivado,match,t_sec
0x0003,2,2,OK,0.0
0x0018,6,6,OK,0.3
0x003d,5,5,OK,0.1
0x007f,3,3,OK,0.0
0x011a,7,7,OK,1.1
0x012f,5,5,OK,0.2
0x0169,8,8,OK,10.5
0x017f,6,6,OK,0.3
0x0187,7,7,OK,1.2
0x0198,8,8,OK,12.0
0x01a8,6,6,OK,0.3
0x01ae,6,6,OK,0.3
0x01e8,8,8,OK,9.3
0x01fe,5,5,OK,0.2
0x0358,7,7,OK,1.6
0x0368,8,8,OK,9.6
0x036e,8,8,OK,10.3
0x03c1,6,6,OK,0.4
0x03d4,7,7,OK,1.3
0x03db,6,6,OK,0.6
0x0661,9,9,OK,114.0
0x066b,9,9,OK,106.1
0x0679,9,9,OK,138.9
0x0693,8,8,OK,11.0
0x06b2,8,8,OK,10.3
0x06b9,8,8,OK,26.1
0x06f9,7,7,OK,2.1
0x07b0,7,7,OK,1.8
0x07e0,7,7,OK,1.4
0x07f0,5,5,OK,0.2
0x1669,10,10,OK,2167.4
0x1683,10,10,OK,1404.3
0x1696,8,8,OK,5.6
0x169e,8,8,OK,6.7
0x177e,9,9,OK,109.3
0x17e8,7,7,OK,0.8
0x1be4,6,6,OK,0.2
